"","tree_id","tree_code","fp_tree_id","fp_species_name","fp_species_id","fp_genus_name","fp_genus_id","fp_family_name","fp_family_apg_id","sub_plot_code","plot_code","csp_site","csp_tree_code","csp_species","csp_family","csp_full_name","csp_taxon_info","dbh_latest","census_date_latest"
"7807",3403,"T698",1106488,"Hevea brasiliensis",296945,"Hevea",10671,"Euphorbiaceae",415,"9","PAN-02","PAN-02","T698","guianensis","Euphorbiaceae","Hevea guianensis","Aubl.",424,"2013.241"
"7808",7952,"T698",637381,"Hedyosmum cuatrecazanum",286804,"Hedyosmum",8621,"Chloranthaceae",226,"19","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"7809",10091,"T698",1063065,"Staphylea occidentalis",570495,"Staphylea",25811,"Staphyleaceae",451,"20","SPD-02",NA,NA,NA,NA,NA,NA,160,"2009.033"
"7810",12805,"T698",635889,"Clusia indet",637026,"Clusia",8717,"Clusiaceae",350,"21","TRU-04",NA,NA,NA,NA,NA,NA,136,"2011.575"
"7811",13863,"T698",633681,"Hedyosmum maximum",286834,"Hedyosmum",8621,"Chloranthaceae",226,"15","WAY-01",NA,NA,NA,NA,NA,NA,213,"2011.896"
"7812",1736,"T698.1",635147,"Clusia trochiformis",124742,"Clusia",8717,"Clusiaceae",350,"25","ESP-01",NA,NA,NA,NA,NA,NA,302,"2011.915"
"7813",13138,"T698.2.A",636222,"Clusia indet",637026,"Clusia",8717,"Clusiaceae",350,"21","TRU-04",NA,NA,NA,NA,NA,NA,116,"2011.575"
"7814",14319,"T698A",634137,"Hedyosmum maximum",286834,"Hedyosmum",8621,"Chloranthaceae",226,"15","WAY-01",NA,NA,NA,NA,NA,NA,107,"2011.896"
"7815",699,"T699",1106081,"Polylepis pauta",495819,"Polylepis",23133,"Rosaceae",397,"20","ACJ-01",NA,NA,NA,NA,NA,NA,142,"2014.2"
"7816",1557,"T699",634968,"Prunus integrifolia",504565,"Prunus",23140,"Rosaceae",397,"25","ESP-01",NA,NA,NA,NA,NA,NA,0,"2010.066"
