plot_code,Plot_Name,RAINFOR_site_code,Latitude,Longitude,Elevation(m),c_percent.sun.mu.abundance,c_percent.sun.se.abundance,n_percent.sun.mu.abundance,n_percent.sun.se.abundance,p_corrected_percent.sun.mu.unweighted,p_corrected_percent.sun.mu.abundance,p_corrected_percent.sun.se.abundance,amax.sun.mu.abundance,amax.sun.se.abundance,lma.sun.mu.abundance,lma.sun.se.abundance,SolarRadiation(GJ m-2 yr-1),MeanAnnualAirTemperature(degC),Precipitation(mm yr-1),Soil moisture (%) ,Aboveground_biomass2,AboveGroundBiomass_Malhi_2017,NPP_old,NPP_new,NPP_Malhi_2017,NPP_Malhi_2017_UpperRange,NPP_Malhi_2017_LowerRange,GPP_new,GPP_new_estimate,GPP_Malhi_2017,GPP_Malhi_2017_UpperRange,GPP_Malhi_2017_LowerRange,Slope (deg),Aspect (deg),Vegetation height (m),Soil type,Malhi_2017SoilCstock(MgCha 1 from0to30cm) ,PCA1ScoresPlotTraits_a,PCA2ScoresPlotTraits_a,PCA1ScoresTraitSample,PCA2ScoresTraitSample,NMeanLower,NMeanMean,NMeanUpper,NVarianceLower,NVarianceMean,NVarianceUpper,NSkewnessLower,NSkewnessMean,NSkewnessUpper,NKurtosisLower,NKurtosisMean,NKurtosisUpper,SLAMeanLower,SLAMeanMean,SLAMeanUpper,SLAVarianceLower,SLAVarianceMean,SLAVarianceUpper,SLASkewnessLower,SLASkewnessMean,SLASkewnessUpper,SLAKurtosisLower,SLAKurtosisMean,SLAKurtosisUpper,mean_p_percent,var_p_percent,PMeanLower,PMeanMean,PMeanUpper,PVarianceLower,PVarianceMean,PVarianceUpper,PSkewnessLower,PSkewnessMean,PSkewnessUpper,PKurtosisLower,PKurtosisMean,PKurtosisUpper,PhotoMeanLower,PhotoMeanMean,PhotoMeanUpper,PhotoVarianceLower,PhotoVarianceMean,PhotoVarianceUpper,PhotoSkewnessLower,PhotoSkewnessMean,PhotoSkewnessUpper,PhotoKurtosisLower,PhotoKurtosisMean,PhotoKurtosisUpper,CMeanLower,CMeanMean,CMeanUpper,CVarianceLower,CVarianceMean,CVarianceUpper,CSkewnessLower,CSkewnessMean,CSkewnessUpper,CKurtosisLower,CKurtosisMean,CKurtosisUpper,mean_air_temp,var_air_temp,mean_c_percent,var_c_percent,mean_n_percent,var_n_percent,mean_p_percent,var_p_percent,mean_c13_delta,var_c13_percent,mean_lma_lamina_petiole,var_lma_lamina_petiole,min_lma_lamina_petiole,max_lma_lamina_petiole,mean_sla_lamina_petiole,var_sla_lamina_petiole,min_sla_lamina_petiole,max_sla_lamina_petiole,mean_photosynthesis,var_photosynthesis
Tono,Tono,Tono,-12.9592,-71.5658,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7,3087,39.8,91.48,92,9.9,10.5572,9.9,10.8,9,NA,31.67191672,28.27,30.85,25.69,8,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRU-04,Trocha Union IV,TRU-04,-13.1055,-71.5893,2719,49.37468029,0.502349611,2.030974996,0.125551386,0.14428264,0.138768595,0.011532231,9.337594836,1.014443204,136.7021385,13.76417118,3.49,13.5,2318,37.3,88.52,88.52,7.77,8.1186,7.77,8.14,7.4,NA,24.35604356,23.54,28.09,18.99,21.2,118,15.7,Umbrisol,289,0.906978716,-0.350282924,0.80170098,-2.067611083,0.022992996,0.023220351,0.023432991,4.13E-05,4.41E-05,4.68E-05,0.378925636,0.466461194,0.551860073,2.373037883,2.558959104,2.767091654,8.990076843,9.121493222,9.251382729,12.94398913,14.34075565,16.24332645,0.828121126,1.151841618,2.076997311,3.573864638,5.945404551,17.24082794,0.139288504,0.00361271,0.001543927,0.001577273,0.00161004,5.34E-07,5.90E-07,6.51E-07,0.91800705,1.077136035,1.233918233,3.560210439,4.158441651,4.814856631,7.741431784,7.986918737,8.269733761,25.16090632,27.79984353,30.79261143,0.88151834,1.031510598,1.184800807,3.353694581,3.96955036,4.634335657,0.481414266,0.482546133,0.483586391,0.000621404,0.000670672,0.000719849,-0.155308106,-0.017006367,0.138778,2.823699172,3.144359554,3.597542328,15.32658296,0.349011871,49.86703645,6.948848188,2.179462875,0.371381357,0.139288504,0.00361271,-29.03342466,3.683874401,143.1554277,2889.983069,41.76768233,287.9196365,0.00810366,1.12E-05,0.003473191,0.023941956,6.68593105,23.90577525
TUIII,Trocha Union III,NA,-13.1097,-71.5995,3044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,1776,41.5,59.08,59.08,5.61,5.845,5.61,5.87,5.35,NA,17.53517535,17.23,20.53,13.93,22.4,114,NA,NA,82.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUVII,Trocha Union VII,NA,-13.0733,-71.5588,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,1827,15.5,50.65,50.65,4.61,4.7542,4.61,4.97,4.25,NA,14.26274263,13.97,16.63,11.31,18,NA,NA,NA,83.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUVIII,Trocha Union VIII,NA,-13.0702,-71.5559,1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.96,18.0,2472,9.7,64.22,64.22,7.98,8.2982,7.98,8.72,7.24,NA,24.89484895,24.19,28.74,19.64,38.8,158,NA,NA,97.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAY-01,Wayqecha,WAY-01,-13.1908,-71.5874,3045,47.38974045,0.522973348,1.619737819,0.123915787,0.13831641,0.113496527,0.008816014,7.622615869,1.345312156,170.9968426,10.99753263,3.51,11.8,1560,23.1,81.32,81.32,7.86,8.1778,7.86,8.33,7.39,25.93,25.93,25.93,29.03,22.83,30.3,112,14.3,Umbrisol,231.6,1.635855333,-1.164510645,1.379665016,-0.146629665,0.018643962,0.018823803,0.019008932,2.33E-05,2.50E-05,2.67E-05,0.764921401,0.902423265,1.063649937,3.871110799,4.40802768,5.055387652,10.68535594,11.97620931,13.25863855,364.2000289,683.1931657,1080.493815,6.682110452,8.459635995,10.466934,55.42610074,92.57528086,144.9465582,0.129836697,0.003478512,0.001167996,0.001191921,0.001218924,2.49E-07,2.83E-07,3.21E-07,1.128133004,1.48695454,1.861104725,5.187839834,7.348926016,9.848888692,7.85840096,8.082828582,8.322824079,26.43154074,28.80955552,31.41452573,0.679137238,0.819212006,0.969164684,3.107866754,3.583965284,4.107730519,0.481004425,0.483299427,0.485545727,0.002274721,0.002598064,0.002914659,0.574649524,0.899134483,1.211104259,5.1068865,6.229156629,7.485164117,15.42673692,0.076589596,48.01956522,5.529943083,2.018550725,0.388416801,0.129836697,0.003478512,-28.52030651,3.523624521,154.5134682,3439.494055,2.373744044,285.0189953,0.013688598,0.002402769,0.003508538,0.421275412,7.138609511,26.27124443
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
